"","Name","Symbol","Mass","Abund."
"1","Aluminum","Al(27)","26.981541","100.00"
"2","Antimony","Sb(121)","120.903824","57.30"
"3","Antimony","Sb(123)","122.904222","42.70"
"4","Argon","Ar(36)","35.967546","0.34"
"5","Argon","Ar(38)","37.962732","0.063"
"6","Argon","Ar(40)","39.962383","99.60"
"7","Arsenic","As(75)","74.921596","100.00"
"8","Barium","Ba(130)","129.906277","0.11"
"9","Barium","Ba(132)","131.905042","0.10"
"10","Barium","Ba(134)","133.904490","2.42"
"11","Barium","Ba(135)","134.905668","6.59"
"12","Barium","Ba(136)","135.904556","7.85"
"13","Barium","Ba(137)","136.905816","11.23"
"14","Barium","Ba(138)","137.905236","71.70"
"15","Beryllium","Be(9)","9.012183","100.00"
"16","Bismuth","Bi(209)","208.980388","100.00"
"17","Boron","B(10)","10.012938","19.80"
"18","Boron","B(11)","11.009305","80.20"
"19","Bromine","Br(79)","78.918336","50.69"
"20","Bromine","Br(81)","80.916290","49.31"
"21","Calcium","Ca(40)","39.962591","96.95"
"22","Calcium","Ca(42)","41.958622","0.65"
"23","Calcium","Ca(43)","42.958770","0.14"
"24","Calcium","Ca(44)","43.955485","2.086"
"25","Calcium","Ca(46)","45.953689","0.004"
"26","Calcium","Ca(48)","47.952532","0.19"
"27","Cadmium","Cd(106)","105.906461","1.25"
"28","Cadmium","Cd(108)","107.904186","0.89"
"29","Cadmium","Cd(110)","109.903007","12.49"
"30","Cadmium","Cd(111)","110.904182","12.80"
"31","Cadmium","Cd(112)","111.902761","24.13"
"32","Cadmium","Cd(113)","112.904401","12.22"
"33","Cadmium","Cd(114)","113.903361","28.73"
"34","Cadmium","Cd(116)","115.904758","7.49"
"35","Carbon","C(12)","12.000000","98.90"
"36","Carbon","C(13)","13.003355","1.10"
"37","Cerium","Ce(136)","135.907140","0.19"
"38","Cerium","Ce(138)","137.905996","0.25"
"39","Cerium","Ce(140)","139.905442","88.48"
"40","Cerium","Ce(142)","141.909249","11.08"
"41","Cesium","Cs(133)","132.905433","100.00"
